Model,Average ⬆️,Submission Date,Hub License,Type,#Params (B),rebuilt
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,17.314021588433324,2024-09-06,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.0,46.28930817610063
EpistemeAI/DeepPhi-3.5-mini-instruct,3.46432918593773,2025-02-28,mit,🔶 fine-tuned on domain-specific datasets,3.821,8.068283917340521
EpistemeAI/DeepThinkers-Phi4,39.40710857221479,2025-03-01,mit,🔶 fine-tuned on domain-specific datasets,14.66,83.21653189577717
EpistemeAI/FineLlama3.1-8B-Instruct,11.239255981586004,2024-08-10,,🔶 fine-tuned on domain-specific datasets,14.483,27.663971248876912
EpistemeAI/Fireball-12B,15.534531353358348,2024-08-21,apache-2.0,🔶 fine-tuned on domain-specific datasets,12.248,40.053908355795144
EpistemeAI/Fireball-12B-v1.13a-philosophers,14.466040850876617,2024-09-03,apache-2.0,🔶 fine-tuned on domain-specific datasets,12.0,43.61185983827493
EpistemeAI/Fireball-Alpaca-Llama-3.1-8B-Philos-DPO-200,21.12991448262953,2024-09-16,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.0,53.41419586702605
EpistemeAI/Fireball-Alpaca-Llama3.1.07-8B-Philos-Math-KTO-beta,25.242227896928764,2024-09-14,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.0,53.71069182389937
EpistemeAI/Fireball-Alpaca-Llama3.1.08-8B-Philos-C-R2,22.550476627240737,2024-09-14,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,58.948787061994615
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-0.001-128K-auto,21.567361907712467,2024-11-15,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,56.963162623539986
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K,20.62716790652169,2024-10-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,50.92542677448337
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code,23.934713958118284,2024-10-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,57.753818508535495
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds,23.14416546279052,2024-10-15,llama3.1,🔶 fine-tuned on domain-specific datasets,8.0,47.03504043126685
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto,23.74994070118673,2024-10-29,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.03,51.60826594788859
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto,23.627287074905905,2024-11-27,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.03,51.60826594788859
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,20.857427405175983,2024-10-11,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,51.08715184186882
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-ds-auto,23.874258540372427,2024-11-14,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,44.21383647798742
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Math,20.55792899003061,2024-09-23,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.03,48.05031446540881
EpistemeAI/Fireball-Meta-Llama-3.2-8B-Instruct-agent-003-128k-code-DPO,21.29356141520376,2024-10-09,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.0,53.728661275831094
EpistemeAI/Fireball-Mistral-Nemo-Base-2407-v1-DPO2,15.339340300308171,2024-08-19,apache-2.0,🔶 fine-tuned on domain-specific datasets,12.248,41.27583108715184
EpistemeAI/Fireball-R1-Llama-3.1-8B,14.729862999540122,2025-02-12,llama3.1,🔶 fine-tuned on domain-specific datasets,8.03,29.676549865229106
EpistemeAI/Llama-3.2-3B-Agent007-Coder,18.91456180890705,2024-10-08,apache-2.0,🔶 fine-tuned on domain-specific datasets,3.0,38.85893980233603
EpistemeAI/Mistral-Nemo-Instruct-12B-Philosophy-Math,16.60399677564458,2024-09-26,apache-2.0,🔶 fine-tuned on domain-specific datasets,12.248,55.265049415992806
EpistemeAI/OpenReasoner-Llama-3.2-3B-rs1.0,22.93957882205128,2025-02-15,llama3.2,🔶 fine-tuned on domain-specific datasets,3.213,46.64869721473495
EpistemeAI/Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-Empathy,23.321646038971995,2024-12-13,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,46.442048517520206
EpistemeAI/Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-Logic,23.204900560269166,2024-12-20,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.03,47.241689128481575
EpistemeAI/Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-divergent,23.02725584049078,2024-12-20,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.03,45.094339622641506
EpistemeAI/Reasoning-Llama-3.1-CoT-RE1-NMT,19.208175433660585,2025-01-29,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.03,36.567834681042235
EpistemeAI/Reasoning-Llama-3.1-CoT-RE1-NMT-V2-ORPO,21.331579969605,2025-01-31,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.03,55.19317160826594
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,9.508931658156024,2025-02-04,apache-2.0,🔶 fine-tuned on domain-specific datasets,1.236,22.389937106918236
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.3,8.170098865797046,2025-02-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,1.236,19.649595687331537
EpistemeAI/Reasoning-Llama-3.2-3B-Math-Instruct-RE1,17.78003203358188,2025-02-04,,🔶 fine-tuned on domain-specific datasets,3.213,37.46630727762803
EpistemeAI/Reasoning-Llama-3.2-3B-Math-Instruct-RE1-ORPO,23.430640115437427,2025-02-04,apache-2.0,🔶 fine-tuned on domain-specific datasets,3.213,47.762803234501334
EpistemeAI/ReasoningCore-3B-T1_1,23.49247452002092,2025-02-06,apache-2.0,🔶 fine-tuned on domain-specific datasets,3.213,48.957771787960475
EpistemeAI2/Athene-codegemma-2-7b-it-alpaca-v1.2,15.718390848250491,2024-08-26,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.0,38.76909254267744
EpistemeAI2/Fireball-12B-v1.2,15.200286583835773,2024-08-28,apache-2.0,🔶 fine-tuned on domain-specific datasets,12.0,44.24977538185086
EpistemeAI2/Fireball-Alpaca-Llama3.1-8B-Philos,22.551673578610224,2024-08-29,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,58.634321653189566
EpistemeAI2/Fireball-Alpaca-Llama3.1.01-8B-Philos,21.567143968773337,2024-09-03,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,57.133872416891286
EpistemeAI2/Fireball-Alpaca-Llama3.1.03-8B-Philos,20.274573357917856,2024-09-04,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,53.24348607367475
EpistemeAI2/Fireball-Alpaca-Llama3.1.04-8B-Philos,21.094517497325704,2024-09-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,55.660377358490564
EpistemeAI2/Fireball-Alpaca-Llama3.1.06-8B-Philos-dpo,21.86763175289908,2024-09-09,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.0,54.39353099730459
EpistemeAI2/Fireball-Alpaca-Llama3.1.07-8B-Philos-Math,21.97087003498899,2024-09-10,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,55.91194968553458
EpistemeAI2/Fireball-Alpaca-Llama3.1.08-8B-C-R1-KTO-Reflection,20.89462493481088,2024-09-16,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.0,54.52830188679246
EpistemeAI2/Fireball-Alpaca-Llama3.1.08-8B-Philos-C-R1,22.51118824548196,2024-09-13,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,56.47798742138366
EpistemeAI2/Fireball-Llama-3.1-8B-Philos-Reflection,20.37672090429901,2024-09-17,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,53.40521114106019
EpistemeAI2/Fireball-MathMistral-Nemo-Base-2407-v2dpo,11.369982746356044,2024-08-24,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",11.58,28.742138364779873
EpistemeAI2/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-math,22.72795730229104,2024-10-12,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,53.21653189577719
EpistemeAI2/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.005-128K-code-COT,21.037758831912942,2024-10-11,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.0,53.683737646001795
EpistemeAI2/Fireball-Phi-3-medium-4k-inst-Philos,29.67636693004503,2024-09-20,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",13.96,73.97124887690926
Eric111/CatunaMayo,21.27397881040676,2024-07-03,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.242,57.8167115902965
Eric111/CatunaMayo-DPO,21.292884967568227,2024-06-27,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.242,57.19676549865229
Etherll/Chocolatine-3B-Instruct-DPO-Revised-Ties,24.981820729952236,2024-10-28,,🔶 fine-tuned on domain-specific datasets,3.821,71.51841868823
Etherll/Chocolatine-3B-Instruct-DPO-Revised-Ties-v2,25.0072163099762,2024-10-29,,🔶 fine-tuned on domain-specific datasets,3.821,71.5363881401617
Etherll/Herplete-LLM-Llama-3.1-8b,19.58870802333299,2024-08-29,,🔶 fine-tuned on domain-specific datasets,8.03,66.20844564240791
Etherll/Herplete-LLM-Llama-3.1-8b,26.260139418825688,2024-10-18,,🔶 fine-tuned on domain-specific datasets,8.03,66.20844564240791
Etherll/Herplete-LLM-Llama-3.1-8b-Ties,26.53329128692283,2024-10-17,,🔶 fine-tuned on domain-specific datasets,8.03,66.58580413297396
Etherll/Qwen2.5-7B-della-test,35.81656745139639,2024-11-14,,🤝 base merges and moerges,7.616,77.68194070080864
Etherll/Qwen2.5-Coder-7B-Instruct-Ties,26.513720070911543,2024-10-28,,🔶 fine-tuned on domain-specific datasets,7.616,68.14914645103323
Etherll/Replete-LLM-V3-Llama-3.1-8b,21.70431724543067,2024-08-26,,🔶 fine-tuned on domain-specific datasets,8.03,46.657681940700805
Etherll/SuperHermes,26.91930524281158,2024-10-27,,🔶 fine-tuned on domain-specific datasets,8.03,72.82120395327941
Eurdem/Defne-llama3.1-8B,25.120605411030212,2024-08-14,llama3.1,🔶 fine-tuned on domain-specific datasets,8.03,64.52830188679246
FINGU-AI/L3-8B,28.91453457774598,2025-01-18,llama3.1,🤝 base merges and moerges,8.03,63.42318059299191
FINGU-AI/Phi-4-RRStock,26.41539412271864,2025-02-05,mit,🤝 base merges and moerges,6.652,69.49685534591195
FINGU-AI/Q-Small-3B,16.89041454501282,2025-01-21,apache-2.0,🤝 base merges and moerges,3.086,40.04492362982929
FINGU-AI/QwQ-Buddy-32B-Alpha,35.1782720586928,2025-02-05,mit,🤝 base merges and moerges,19.662,84.80682839173404
FINGU-AI/RomboUltima-32B,44.731545333278405,2025-02-02,mit,🤝 base merges and moerges,17.645,94.177897574124
FallenMerick/Chewy-Lemon-Cookie-11B,22.043725653783596,2024-06-27,cc-by-4.0,🤝 base merges and moerges,10.732,56.0377358490566
Felladrin/Llama-160M-Chat-v1,4.201766115349323,2024-07-23,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",0.162,10.467205750224618
Felladrin/Minueza-32M-UltraChat,3.924255988180698,2024-07-23,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",0.033,11.0062893081761
FlofloB/100k_fineweb_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,8.550830451075553,2024-11-29,apache-2.0,🟩 continuously pretrained,0.5,22.470799640610963
FlofloB/10k_continued_pretraining_Phi-3-mini-4k-instruct_Unsloth_merged_16bit,24.04356389387962,2024-11-22,apache-2.0,🟩 continuously pretrained,16.0,63.33333333333333
FlofloB/10k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,8.363924265648496,2024-11-25,apache-2.0,🟩 continuously pretrained,0.5,19.82030548068284
FlofloB/40k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,8.381580312764262,2024-11-25,apache-2.0,🟩 continuously pretrained,0.5,18.39173405211141
FlofloB/83k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,8.427461121141809,2024-11-26,apache-2.0,🟩 continuously pretrained,0.5,22.578616352201262
FlofloB/smollm2-135M_pretrained_1000k_fineweb,4.20780841481479,2025-01-14,apache-2.0,🟢 pretrained,0.135,11.958670260557053
FlofloB/smollm2-135M_pretrained_1000k_fineweb_uncovai_human_removed,4.06134991308063,2025-01-27,apache-2.0,🟢 pretrained,0.135,10.296495956873315
FlofloB/smollm2-135M_pretrained_1000k_fineweb_uncovai_selected,5.055842764583344,2025-01-12,apache-2.0,🟢 pretrained,0.135,17.358490566037734
FlofloB/smollm2-135M_pretrained_1200k_fineweb,4.188312239003598,2025-01-12,apache-2.0,🟢 pretrained,0.135,12.43486073674753
FlofloB/smollm2-135M_pretrained_1200k_fineweb_uncovai_human_removed,4.280291147523802,2025-01-27,apache-2.0,🟢 pretrained,0.135,12.560646900269543
FlofloB/smollm2-135M_pretrained_1200k_fineweb_uncovai_selected,4.03050468089069,2025-01-14,apache-2.0,🟢 pretrained,0.135,12.138364779874216
FlofloB/smollm2-135M_pretrained_1400k_fineweb,4.992957353487976,2025-01-13,apache-2.0,🟢 pretrained,0.135,15.309973045822103
FlofloB/smollm2-135M_pretrained_1400k_fineweb_uncovai_human_removed,5.063032045008573,2025-01-28,apache-2.0,🟢 pretrained,0.135,15.363881401617249
FlofloB/smollm2-135M_pretrained_1400k_fineweb_uncovai_selected,4.624639622707802,2025-01-13,apache-2.0,🟢 pretrained,0.135,14.81581311769991
FlofloB/smollm2-135M_pretrained_200k_fineweb_uncovai_human_removed,3.8819679158721776,2025-01-17,apache-2.0,🟢 pretrained,0.135,10.035938903863432
FlofloB/smollm2-135M_pretrained_200k_fineweb_uncovai_selected,3.4920262751647098,2025-01-08,apache-2.0,🟢 pretrained,0.135,9.883198562443845
FlofloB/smollm2-135M_pretrained_400k_fineweb,4.224944649553536,2025-01-10,apache-2.0,🟢 pretrained,0.135,13.000898472596587
FlofloB/smollm2-135M_pretrained_400k_fineweb_uncovai_human_removed,4.710926533341115,2025-01-18,apache-2.0,🟢 pretrained,0.135,13.656783468104225
FlofloB/smollm2-135M_pretrained_400k_fineweb_uncovai_selected,4.38733089603933,2025-01-09,apache-2.0,🟢 pretrained,0.135,12.596585804132973
FlofloB/smollm2-135M_pretrained_600k_fineweb,4.886739290130319,2025-01-11,apache-2.0,🟢 pretrained,0.135,14.663072776280325
FlofloB/smollm2-135M_pretrained_600k_fineweb_uncovai_human_removed,4.644401741390064,2025-01-19,apache-2.0,🟢 pretrained,0.135,14.699011680143755
FlofloB/smollm2-135M_pretrained_600k_fineweb_uncovai_selected,4.657606376854525,2025-01-09,apache-2.0,🟢 pretrained,0.135,14.654088050314465
FlofloB/smollm2-135M_pretrained_800k_fineweb,4.17450578103981,2025-01-14,apache-2.0,🟢 pretrained,0.135,11.27583108715184
FlofloB/smollm2-135M_pretrained_800k_fineweb_uncovai_human_removed,5.03254333671229,2025-01-19,apache-2.0,🟢 pretrained,0.135,14.743935309973047
FlofloB/smollm2-135M_pretrained_800k_fineweb_uncovai_selected,4.118739390912178,2025-01-14,apache-2.0,🟢 pretrained,0.135,12.632524707996403
FlofloB/smollm2_pretrained_200k_fineweb,4.00559929596115,2025-01-08,apache-2.0,🟢 pretrained,0.135,10.566037735849058
FlofloB/test_continued_pretraining_Phi-3-mini-4k-instruct_Unsloth_merged_16bit,24.48570245546706,2024-11-21,apache-2.0,🟩 continuously pretrained,16.0,65.34591194968554
FuJhen/ft-openhermes-25-mistral-7b-irca-dpo-pairs,20.395988185954646,2024-09-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",14.483,43.43216531895777
FuJhen/mistral-instruct-7B-DPO,19.02953078213065,2024-09-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",14.496,43.00988319856244
FuJhen/mistral_7b_v0.1_structedData_e2e,10.909311048443838,2024-09-13,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.0,25.91194968553459
FuJhen/mistral_7b_v0.1_structedData_viggo,12.440582510781873,2024-09-13,apache-2.0,🔶 fine-tuned on domain-specific datasets,14.483,31.491464510332435
FuseAI/FuseChat-7B-v2.0,20.14636743747765,2024-11-21,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.242,55.72327044025157
FuseAI/FuseChat-Llama-3.1-8B-Instruct,28.59550964455965,2025-01-07,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",8.03,59.97304582210242
FuseAI/FuseChat-Llama-3.2-3B-Instruct,25.746913825686644,2025-02-08,,🔶 fine-tuned on domain-specific datasets,3.213,57.91554357592092
FuseAI/FuseChat-Qwen-2.5-7B-Instruct,31.40771569311038,2024-12-21,,🔶 fine-tuned on domain-specific datasets,7.616,69.34411500449235
GalrionSoftworks/MN-LooseCannon-12B-v1,22.12442725339166,2024-09-05,,🤝 base merges and moerges,12.248,54.78885893980233
GalrionSoftworks/MagnusIntellectus-12B-v1,21.773295532025813,2024-09-05,apache-2.0,🤝 base merges and moerges,12.248,56.77448337825697
GenVRadmin/AryaBhatta-GemmaOrca-2-Merged,14.006450277637631,2025-02-06,mit,🔶 fine-tuned on domain-specific datasets,8.538,36.28032345013477
GenVRadmin/AryaBhatta-GemmaOrca-Merged,11.99472750549792,2025-02-06,mit,🔶 fine-tuned on domain-specific datasets,8.538,23.593890386343215
GenVRadmin/AryaBhatta-GemmaUltra-Merged,13.28281509458921,2025-02-06,mit,🔶 fine-tuned on domain-specific datasets,8.538,35.39083557951483
GenVRadmin/llama38bGenZ_Vikas-Merged,16.09338316937527,2025-02-06,mit,🔶 fine-tuned on domain-specific datasets,8.03,45.938903863432174
GoToCompany/gemma2-9b-cpt-sahabatai-v1-instruct,32.46826016178984,2024-11-20,gemma,🔶 fine-tuned on domain-specific datasets,9.242,82.74034141958671
GoToCompany/llama3-8b-cpt-sahabatai-v1-instruct,23.05939902243402,2024-11-20,llama3,🔶 fine-tuned on domain-specific datasets,8.03,56.118598382749326
Goekdeniz-Guelmez/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1,9.768236092545305,2024-11-18,apache-2.0,🔶 fine-tuned on domain-specific datasets,0.63,24.03414195867026
Goekdeniz-Guelmez/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1,8.415919404386559,2024-11-18,apache-2.0,🔶 fine-tuned on domain-specific datasets,0.63,24.03414195867026
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v1,18.44117473256343,2024-09-28,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",1.777,29.020664869721475
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v2,15.56674922027016,2024-09-28,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",1.544,26.388140161725065
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,15.592787360948462,2024-09-28,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",1.544,25.489667565139268
Goekdeniz-Guelmez/Josiefied-Qwen2.5-14B-Instruct-abliterated-v4,42.550065874753976,2024-10-23,apache-2.0,🔶 fine-tuned on domain-specific datasets,14.77,89.39802336028751
Goekdeniz-Guelmez/Josiefied-Qwen2.5-7B-Instruct-abliterated-v2,35.31663337889917,2024-10-08,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",7.616,78.63432165318959
Goekdeniz-Guelmez/j.o.s.i.e.v4o-1.5b-dpo-stage1-v1,15.07804770111701,2024-10-08,apache-2.0,🔶 fine-tuned on domain-specific datasets,1.544,32.31805929919137
Goekdeniz-Guelmez/josie-3b-v6.0,24.746540779866937,2025-01-07,apache-2.0,🔶 fine-tuned on domain-specific datasets,3.086,55.27403414195867
Goekdeniz-Guelmez/josie-7b-v6.0,32.374168071296964,2025-01-07,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.616,69.73944294699011
Goekdeniz-Guelmez/josie-7b-v6.0-step2000,26.97043751712353,2024-12-11,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",7.616,74.21383647798741
Goekdeniz-Guelmez/josie-7b-v6.0-step2000,33.83292639490552,2024-12-11,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",7.616,74.21383647798741
GreenNode/GreenNode-small-9B-it,31.194506347689323,2024-10-14,,🟩 continuously pretrained,9.242,77.54716981132076
GritLM/GritLM-7B-KTO,19.2358949114183,2024-08-04,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",7.242,42.72237196765498
GritLM/GritLM-8x7B-KTO,26.2413047085506,2024-08-04,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",46.703,66.08265947888589
Groq/Llama-3-Groq-8B-Tool-Use,21.44560137489326,2025-01-01,llama3,🔶 fine-tuned on domain-specific datasets,8.03,44.26774483378257
Gryphe/Pantheon-RP-1.0-8b-Llama-3,16.87312240356046,2024-06-27,apache-2.0,🔶 fine-tuned on domain-specific datasets,8.03,40.30548068283917
Gryphe/Pantheon-RP-1.5-12b-Nemo,21.32374664039768,2024-08-04,apache-2.0,🔶 fine-tuned on domain-specific datasets,12.248,52.99191374663073
Gryphe/Pantheon-RP-1.6-12b-Nemo,20.56659922855925,2024-08-31,apache-2.0,🔶 fine-tuned on domain-specific datasets,12.248,51.9047619047619
Gryphe/Pantheon-RP-1.6-12b-Nemo-KTO,21.558598525492474,2024-08-31,apache-2.0,🔶 fine-tuned on domain-specific datasets,12.248,56.0826594788859
Gryphe/Pantheon-RP-Pure-1.6.2-22b-Small,28.138635196099436,2024-10-15,other,🔶 fine-tuned on domain-specific datasets,22.247,69.35309973045821
Gunulhona/Gemma-Ko-Merge,29.044658369613117,2024-10-23,,"💬 chat models (RLHF, DPO, IFT, ...)",10.159,62.32704402515723
Gunulhona/Gemma-Ko-Merge-PEFT,18.16949453226467,2024-10-17,,🔶 fine-tuned on domain-specific datasets,20.318,43.827493261455515
Gunulhona/Gemma-Ko-Merge-PEFT,18.06624017039761,2024-10-23,,"💬 chat models (RLHF, DPO, IFT, ...)",20.318,43.827493261455515
HPAI-BSC/Llama3-Aloe-8B-Alpha,20.23044725696465,2024-10-29,cc-by-nc-4.0,🔶 fine-tuned on domain-specific datasets,8.03,46.40610961365679
HPAI-BSC/Llama3.1-Aloe-Beta-8B,26.524195182673974,2024-11-07,llama3.1,🔶 fine-tuned on domain-specific datasets,8.03,64.34860736747528
HPAI-BSC/Qwen2.5-Aloe-Beta-7B,27.826720985708487,2024-12-17,apache-2.0,🔶 fine-tuned on domain-specific datasets,7.616,60.79964061096136
Hastagaras/Llama-3.1-Jamet-8B-MK.I,25.42380601749484,2024-11-18,llama3.1,🔶 fine-tuned on domain-specific datasets,8.03,54.168912848158136
Hastagaras/Zabuza-8B-Llama-3.1,19.92582695678787,2024-11-05,llama3.1,🤝 base merges and moerges,8.03,37.493261455525605
HelpingAI/Cipher-20B,26.97600761673777,2024-12-14,other,🔶 fine-tuned on domain-specific datasets,20.551,66.09164420485175
HelpingAI/Priya-10B,14.14328407509064,2024-12-18,other,🟩 continuously pretrained,10.211,29.631626235399818
HelpingAI/Priya-3B,13.429592166190526,2024-12-14,other,🟩 continuously pretrained,2.81,28.104222821203955
HeraiHench/Double-Down-Qwen-Math-7B,4.309785575689419,2025-01-30,,🤝 base merges and moerges,7.616,12.11141060197664
HeraiHench/Marge-Qwen-Math-7B,4.083812323812456,2025-01-30,,🤝 base merges and moerges,7.616,11.60826594788859
HeraiHench/Phi-4-slerp-ReasoningRP-14B,8.51238737192275,2025-01-29,,🤝 base merges and moerges,9.207,20.745732255166217
HiroseKoichi/Llama-Salad-4x8B-V3,24.922701724199342,2024-06-26,llama3,🤝 base merges and moerges,24.942,57.78975741239892
HoangHa/Pensez-Llama3.1-8B,19.04804643436893,2025-02-19,llama3.1,🔶 fine-tuned on domain-specific datasets,8.03,43.21653189577718
HuggingFaceH4/zephyr-7b-beta,17.792237227370464,2024-06-12,mit,"💬 chat models (RLHF, DPO, IFT, ...)",7.242,41.18598382749326
HuggingFaceH4/zephyr-orpo-141b-A35b-v0.1,34.125963384670946,2024-06-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",140.621,85.1572327044025
HuggingFaceTB/SmolLM-1.7B,5.576455936269043,2024-07-18,apache-2.0,🟢 pretrained,1.71,12.273135669362084
HuggingFaceTB/SmolLM-1.7B-Instruct,5.490688803655309,2024-07-18,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",1.71,13.764600179694519
HuggingFaceTB/SmolLM-135M,6.951489892134872,2024-07-18,apache-2.0,🟢 pretrained,0.13,22.30008984725966
HuggingFaceTB/SmolLM-135M-Instruct,3.652287650202965,2024-10-12,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",0.135,11.527403414195868
HuggingFaceTB/SmolLM-360M,6.260888857386585,2024-07-18,apache-2.0,🟢 pretrained,0.36,19.613656783468105
HuggingFaceTB/SmolLM-360M-Instruct,5.0088989557053685,2024-08-20,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",0.362,13.21653189577718
HuggingFaceTB/SmolLM2-1.7B,9.5836210417532,2024-11-06,apache-2.0,🟢 pretrained,1.71,25.30098831985625
HuggingFaceTB/SmolLM2-1.7B-Instruct,15.02227766709556,2024-11-06,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",1.711,35.11230907457323
HuggingFaceTB/SmolLM2-135M-Instruct,6.467364720358819,2024-11-06,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",0.135,12.129380053908354
HuggingFaceTB/SmolLM2-135M-Instruct,3.2065969565576755,2024-11-14,apache-2.0,🔶 fine-tuned on domain-specific datasets,0.135,12.129380053908354
HuggingFaceTB/SmolLM2-360M,6.251282350517303,2024-11-06,apache-2.0,🟢 pretrained,0.36,17.520215633423177
HuggingFaceTB/SmolLM2-360M-Instruct,3.1000195398620374,2024-11-14,apache-2.0,🔶 fine-tuned on domain-specific datasets,0.362,16.486972147349505
HuggingFaceTB/SmolLM2-360M-Instruct,8.139566424375877,2024-11-06,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",0.36,16.486972147349505
HumanLLMs/Humanish-LLama3-8B-Instruct,22.678203747779094,2024-10-05,llama3,"💬 chat models (RLHF, DPO, IFT, ...)",8.03,46.77448337825697
HumanLLMs/Humanish-Mistral-Nemo-Instruct-2407,23.888067848972184,2024-10-06,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",12.248,54.40251572327045
HumanLLMs/Humanish-Qwen2.5-7B-Instruct,34.99870743015318,2024-10-05,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",7.616,73.6657681940701
IDEA-CCNL/Ziya-LLaMA-13B-v1,3.9064248386004095,2024-06-12,gpl-3.0,🔶 fine-tuned on domain-specific datasets,13.0,9.290206648697213
INSAIT-Institute/BgGPT-Gemma-2-27B-IT-v1.0,1.6780628068086922,2024-12-15,gemma,🟩 continuously pretrained,27.227,9.209344115004491
